index,,Lower Salary Estimate,Higher Salary Estimate,Rating,Company,Location,State,Headquarters,"State,Country",Siz,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Count of Competitors,Machine Learning,Count of Machine Learning,
647,Engineer - Computer Scientist - Research Computer Scientist - Signal Processing,92.00,155.00,3.9,"Southwest Research Institute
",Oklahoma City, OK,San Antonio, TX,1001 to 5000 ,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion ,"Los Alamos National Laboratory, Battelle, SRI International",7,No,,
648,Data Scientist,92.00,155.00,4.7,"Compass Consulting Group
",Thousand Oaks, CA,Danville, CA,51 to 200 ,2008,Company - Private,Consulting,Business Services,Unknown,None,0,No,,
649,Data Science Software Engineer,92.00,155.00,4.8,"Klaviyo
",Boston, MA,Boston, MA,201 to 500 ,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
650,"Scientist / Group Lead, Cancer Biology",92.00,155.00,Unknown,Monte Rosa Therapeut,Cambridge, MA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
651,Ai Ops Data Scientist,92.00,155.00,4,"AstraZeneca
",Gaithersburg, MD,Cambridge, United Kingdom,10000+ ,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Roche, GlaxoSmithKline, Novartis",3,No,,
652,Senior Data Scientist,105.00,167.00,3.8,"GutCheck
",Denver, CO,Denver, CO,51 to 200 ,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million ,"Nielsen, Zappi, SurveyMonkey",3,No,,
653,Sr. Ml/Data Scientist - Ai/Nlp/Chatbot,105.00,167.00,3.8,"Juniper Networks
",Cupertino, CA,Sunnyvale, CA,5001 to 10000 ,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion ,None,0,No,,
654,Data Scientist,105.00,167.00,2.7,"Hexagon US Federal
",Lexington Park, MD,Chantilly, VA,51 to 200 ,2010,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown,None,0,No,,
655,Data Scientist,105.00,167.00,4,"Comtech Global Inc
",Washington, DC,Columbus, OH,51 to 200 ,Unknown,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$5 to $10 million ,None,0,No,,
656,Data Scientist,105.00,167.00,Unknown,Berico Technolog,Fort Belvoir, VA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
657,Data Scientist,105.00,167.00,Unknown,Kehe Food Distribut,Naperville, IL,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
658,Data Scientist,105.00,167.00,3.8,"Aveshka, Inc.
",Washington, DC,Arlington, VA,51 to 200 ,2010,Company - Public,IT Services,Information Technology,$10 to $25 million ,None,0,No,,
659,Data Scientist,105.00,167.00,3.2,"Perspecta
",Adelphi, MD,Chantilly, VA,10000+ ,2018,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown,None,0,No,,
660,Data Scientist,105.00,167.00,Unknown,Pactera E,Redmond, WA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
661,Data Scientist,105.00,167.00,3.6,"Qurate Retail Group
",West Chester, PA,West Chester, PA,10000+ ,Unknown,Company - Public,Other Retail Stores,Retail,Unknown,None,0,No,,
662,Data Scientist,105.00,167.00,4.4,"SolutionIT, Inc.
",Edison, NJ,Wilmington, MA,51 to 200 ,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
663,Data Scientist,105.00,167.00,4.1,"A-Line Staffing Solutions
",Durham, NC,Utica, MI,501 to 1000 ,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown,None,0,No,,
664,Data Scientist,105.00,167.00,Unknown,Clear Ridge Defe,Quantico, VA,Baltimore, MD,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
665,Data Scientist,105.00,167.00,3.8,"Criterion Systems, Inc.
",Vienna, VA,Vienna, VA,201 to 500 ,2005,Company - Private,IT Services,Information Technology,$50 to $100 million ,None,0,No,,
666,Data Scientist,105.00,167.00,4,"Foundation Medicine
",Boston, MA,Cambridge, MA,1001 to 5000 ,2010,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,"Genomic Health, Myriad Genetics, The Broad Institute",7,No,,
667,Data Scientist,105.00,167.00,3.6,"TRANZACT
",Fort Lee, NJ,Fort Lee, NJ,1001 to 5000 ,1989,Company - Private,Advertising & Marketing,Business Services,Unknown,None,0,No,,
668,Data Scientist,105.00,167.00,Unknown,J,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
669,Data Scientist,105.00,167.00,Unknown,AccessH,Irwindale, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
670,Data Scientist,105.00,167.00,5,"ChaTeck Incorporated
",San Francisco, CA,Santa Clara, CA,1 to 50 ,Unknown,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million ,None,0,No,,
671,Data Scientist,105.00,167.00,2.7,"1-800-Flowers
",New York, NY,Carle Place, NY,1001 to 5000 ,1976,Company - Public,Wholesale,Business Services,$1 to $2 billion ,None,0,No,,
